iso3_code,connectivity_govt,school_id_giga,num_students,num_classrooms,connectivity,school_id_govt,school_name,latitude,longitude,education_level,connectivity_type_govt,admin1,admin1_id_giga,admin2,admin2_id_giga,num_computers,num_teachers,source_lat_lon,country,unicef_region,itu_region,continent
BIH,No,68535c2d-be85-3f1b-887b-472a0c8b3f76,36,3,No,G-4-A-4,PODRUČNA ŠKOLA ZAGRAĐE,44.04735565185550,17.925931930542000,Primary,Ne postoji aktivna internet veza,Federacija Bosne i Hercegovine,BIH002,Srednjobosanski,BIH002006,0,4,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,68690245-dd06-3722-bb9f-58fc9b70e841,540,19,Yes,I-3-D-75,Srednja strukovna škola Ruđera Boškovića Ljubuški,43.19165802001950,17.538434982299800,Other,(A)DSL internet,Federacija Bosne i Hercegovine,BIH002,Zapadnohercegovački,BIH002008,58,54,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,68718ca5-5934-31a3-b335-8383ba9e6ab9,255,14,Yes,L-37-B-529,"ЈУ Основна школа ""Петар Кочић"" Козлук",44.49785614013670,19.10369110107420,Primary,(A)DSL интернет,Republika Srpska,BIH001,Vlasenica,BIH001007,4,30,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,688b6487-0cc2-3d40-9ec1-2621bf5ba0d1,141,3,Yes,L-12-A-168,"ЈУ Основна школа ""Вук Стефановић Караџић"" Бања Лука- подручно одјељење Чесма",44.79235076904300,17.209266662597700,Primary,(A)DSL интернет,Republika Srpska,BIH001,Banja Luka,BIH001001,1,8,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,68b4ce6c-2fdd-329a-8577-22f9bc4cd4eb,72,5,Yes,L-25-B-730,"Јавна установа основна школа ""Сутјеска"" Модрича",44.90568923950200,18.34899139404300,Primary,(A)DSL интернет,Republika Srpska,BIH001,Doboj,BIH001003,0,9,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,No,68d102cb-b731-3ca3-a324-9bdab544489a,8,2,No,L-10-A-220,"ЈУ ОШ ''МЕША СЕЛИМОВИЋ'' НАСЕОБИНА ЛИШЊА, ПО МУЈИНЦИ",44.90331268310550,17.558910369873000,Primary,Не постоји активна интернет веза,Republika Srpska,BIH001,Banja Luka,BIH001001,0,2,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,68e13cec-cd90-3468-bba2-a68a2af2e32b,725,23,Yes,F-3-B-8,JU OŠ Fahrudin Fahro Baščelija,43.66448211669920,18.972536087036100,Primary,(A)DSL internet,Federacija Bosne i Hercegovine,BIH002,Bosansko-Podrinjski,BIH002005,16,58,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,69168bc3-ef75-34ae-9638-b59367875ab9,788,19,Yes,F-3-B-6,JU OŠ „Husein ef. Đozo“,43.66926956176760,18.985782623291000,Primary,Fiber-optički internet,Federacija Bosne i Hercegovine,BIH002,Bosansko-Podrinjski,BIH002005,56,52,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,6926eaa9-d561-3963-aab6-ba2ed7ba3467,172,9,Yes,L-60-B-509,"Јавна установа Основна школа ""Његош"" Берковићи",42.70981216430660,18.350080490112300,Primary,Кабловски интернет,Republika Srpska,BIH001,Trebinje,BIH001006,102,22,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,6938d693-5d63-373c-acf5-a5e7da179807,146,9,Yes,G-1-B-98,"Osnovna škola ""Berta Kučera"" Jajce - Područna škola Vinac",44.27040100097660,17.282346725463900,Primary,(A)DSL internet,Federacija Bosne i Hercegovine,BIH002,Srednjobosanski,BIH002006,0,12,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,69678674-1ff8-316d-a26f-fd6a638f0ac6,174,10,Yes,D-3-B-205,"JU OŠ ""Džakule"" Džakule",44.77388381958010,18.389415740966800,Primary,Drugo (molimo navedite),Federacija Bosne i Hercegovine,BIH002,Tuzlanski,BIH002003,9,26,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,6980dec0-43c3-306b-9ade-13e6f54fd226,310,18,Yes,C-3-G-2,Srednja strukovna škola Orašje,45.03620910644530,18.664785385131800,Other,(A)DSL internet,Federacija Bosne i Hercegovine,BIH002,Posavski,BIH002002,15,34,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,6989d290-6d82-3b65-b5bb-b407da428635,247,10,Yes,E-2-B-10,"JU OŠ""GAZI FERHAD-BEG"" JABLANICA",44.58866500854490,18.021333694458000,Primary,(A)DSL internet,Federacija Bosne i Hercegovine,BIH002,Zeničko-Dobojski,BIH002004,2,25,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,6a31f757-1e3f-34f5-8893-c92a96039b1e,634,22,Yes,L-10-I-527,"ЈУ Центар средњих школа ""Иво Андрић"" Прњавор",44.865753173828100,17.670438766479500,Secondary,Фибер-оптички интернет,Republika Srpska,BIH001,Banja Luka,BIH001001,33,75,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,6a621a25-0bd4-30e4-8e3c-db0c75cb51b5,11,3,Yes,L-25-A-269,"ЈУ Основна школа ""Свети Сава"" Модрича, ПШ Ботајица",44.973445892334000,18.207380294799800,Primary,(A)DSL интернет,Republika Srpska,BIH001,Doboj,BIH001003,2,4,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,6a65b954-ddc0-32a9-978c-0fce92473ea3,161,9,Yes,L-49-B-378,"Јавна установа основна школа ""Србија",45.03306198120120,18.46149253845220,Primary,(A)DSL интернет,Republika Srpska,BIH001,Doboj,BIH001003,11,23,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
BIH,Yes,6abbc3ca-4b92-384d-8a09-d9c1c0e629b6,4,2,Yes,L-30-A-578,ЈУ Основна школа ''Обудовац'' Обудовац,44.972713470459000,18.600351333618200,Primary,(A)DSL интернет,Republika Srpska,BIH001,Doboj,BIH001003,2,4,Government,Bosnia and Herzegovina,Eastern Europe and Central Asia,Europe,Europe
